StoreLicenseeName,State,StoreLicenseeInd,Zip,StoreLicenseeNo,Address1,City
US HWY 80 PACKAGE STORE/BELLAMY ONE STOP & GR  ( AL - F - 011000219160 ),AL,Off Premise,36901,AL - F - 011000219160,14611 US HIGHWAY 80,BELLAM
PACKAGE STORE 150  ( AL - F - 011000543937 ),AL,Off Premise,35244,AL - F - 011000543937,2804 JOHN HAWKINS PKWY STE 108,HOOVE
THE LIQUOR STORE  ( AL - F - 011000736245 ),AL,Off Premise,35802,AL - F - 011000736245,4060 MEMORIAL PARKWAY S,HUNTSVILL
BS BOTTLE SHOP  ( AL - F - 011000749658 ),AL,Off Premise,35143,AL - F - 011000749658,4154 HIGHWAY 47 S,SHELB
LIBERTY BEVERAGES  ( AL - F - 011001089536 ),AL,Off Premise,35768,AL - F - 011001089536,902 E WILLOW ST,SCOTTSBOR
COUNTY LINE PACKAGE STORE  ( AL - F - 011001233041 ),AL,Off Premise,36854,AL - F - 011001233041,14001 LEE RD 379,VALLE
BAMA BEVERAGES  ( AL - F - 011001643248 ),AL,Off Premise,35016,AL - F - 011001643248,125  N BRINDLEE MOUNTAIN PARKWAY,ARA
BRIDGEPORT BEVERAGE BARN  ( AL - F - 011001713636 ),AL,Off Premise,35740,AL - F - 011001713636,50800 SUITE B AL HWY 277,BRIDGEPOR
IRAS BEVERAGES  ( AL - F - 011001978267 ),AL,Off Premise,35565,AL - F - 011001978267,42499 HWY 195,HALEYVILL
LAKE MARTIN EXXON PACKAGE STORE  ( AL - F - 011001990362 ),AL,Off Premise,35004,AL - F - 011001990362,1009 KELLY CREEK WAY,ALEXANDER CIT
FOUR ACES  ( AL - F - 011002002631 ),AL,Off Premise,36477,AL - F - 011002002631,13 NORTH RIPLEY STREET,SAMSO
RACE CITY PACKAGE STORE  ( AL - F - 011002024661 ),AL,Off Premise,35096,AL - F - 011002024661,75246A AL HWY 77,LINCOL
PARTY TIME  ( AL - F - 011002202510 ),AL,Off Premise,35960,AL - F - 011002202510,602 CHESNUT BYPASS,CENTR
ABC TEST VENDOR  ( AL - F - 011009999951 ),AL,Off Premise,36109,AL - F - 011009999951,2715 GUNTER PARK DR W,MONTGOMER
NEIGHBORHOOD PACKAGE STORE  ( AL - F - 011010155737 ),AL,Off Premise,35213,AL - F - 011010155737,4421 SHARPSBURG DR,IRONDAL
LIL STEVES 8  ( AL - F - 011010163739 ),AL,Off Premise,35652,AL - F - 011010163739,16082 HWY 72,ROGERSVILL
DEPOT  ( AL - F - 011010187941 ),AL,Off Premise,36801,AL - F - 011010187941,300B COLUMBUS PKWY,OPELIK
JOHNSON PACKAGE STORE AND GRILL  ( AL - F - 011010282013 ),AL,Off Premise,36784,AL - F - 011010282013,703 TALLAHATTA SPRINGS ROAD,THOMASVILL
ENTOURAGE LOUNGE  ( AL - O - 010000136424 ),AL,On Premise,36701,AL - O - 010000136424,1212 ALABAMA AVE,SELM
CLUB LAPLACE  ( AL - O - 010000168344 ),AL,On Premise,36075,AL - O - 010000168344,1306 COUNTY ROAD 13,SHORTE
JUPITER BAR & GRILL  ( AL - O - 010000168963 ),AL,On Premise,35401,AL - O - 010000168963,1307 UNIVERSITY BLVD,TUSCALOOS
PRIVATE STOCK  ( AL - O - 010000317937 ),AL,On Premise,35218,AL - O - 010000317937,1813 AVENUE C ENSLEY,BIRMINGHA
TOP OF THE BAY  ( AL - O - 010001296302 ),AL,On Premise,36526,AL - O - 010001296302,29049 HWY 98,DAPHN
DAHLIAS ELECTRIC PIANO HALL  ( AL - O - 010001558949 ),AL,On Premise,36602,AL - O - 010001558949,258 DAUPHIN STREET,MOBIL
BAMA COWBOY SALOON AND STEAKHOUSE  ( AL - O - 010001794408 ),AL,On Premise,36207,AL - O - 010001794408,1503 HILLYER ROBINSON PARKWAY,ANNISTO
TIME OUT SPORTS BAR AND GRILL  ( AL - O - 010002016137 ),AL,On Premise,35006,AL - O - 010002016137,10110 CAMP OLIVER RD,ADGE
DOUBLE DEUCE 2  ( AL - O - 010002104502 ),AL,On Premise,36532,AL - O - 010002104502,9115 US HWY 98,FAIRHOP
VICTORYLAND  ( AL - O - 010002146244 ),AL,On Premise,36075,AL - O - 010002146244,8680 COUNTY ROAD 40,SHORTE
TU KANOOS  ( AL - O - 010002190328 ),AL,On Premise,35901,AL - O - 010002190328,221 SOUTH THIRD STREET,GADSDE
THE HAWG CORRAL  ( AL - O - 010010028158 ),AL,On Premise,35124,AL - O - 010010028158,2781 A AND B PELHAM PARKWAY,PELHA
STIR AUBURN  ( AL - O - 010010113041 ),AL,On Premise,36830,AL - O - 010010113041,200 WEST GLENN AVE,AUBUR
DOOLEYS  ( AL - O - 010010214826 ),AL,On Premise,36054,AL - O - 010010214826,1758 ALABAMA HIGHWAY 14,MILLBROO
POOL PALACE  ( AL - O - 010010228924 ),AL,On Premise,36701,AL - O - 010010228924,1104 LL ANDERSON,SELM
APOSHA  ( AL - O - 010010255755 ),AL,On Premise,36081,AL - O - 010010255755,203 LOVE STREET,TRO
SIDELINES BAR AND GRILL  ( AL - O - 010010266502 ),AL,On Premise,36507,AL - O - 010010266502,702 US HWY 31 S,BAY MINETT
BARRISTERS BAR  ( AL - O - 010010306737 ),AL,On Premise,35216,AL - O - 010010306737,1535 MONTGOMERY HWY,HOOVE
XCITE  ( AL - O - 010010309549 ),AL,On Premise,36602,AL - O - 010010309549,270 DAUPHIN ST,MOBIL
LEGENDS  ( AL - O - 010010380849 ),AL,On Premise,36605,AL - O - 010010380849,2301 DAUPHIN ISLAND PKWY,MOBIL
ESSENCE ULTRA LOUNGE  ( AL - O - 010010459164 ),AL,On Premise,35503,AL - O - 010010459164,30 HWY 195 N,JASPE
LOCOS GRILL & PUB  ( AL - O - 020000091541 ),AL,On Premise,36830,AL - O - 020000091541,1120 S COLLEGE ST,AUBUR
RUAN THAI  ( AL - O - 020000202863 ),AL,On Premise,35401,AL - O - 020000202863,1407 UNIVERSITY BLVD,TUSCALOOS
HOWARDS PLACE  ( AL - O - 020000231620 ),AL,On Premise,36467,AL - O - 020000231620,1503 W CUMMINGS AVE,OP
APPLEBEES NEIGHBORHOOD GRILL  ( AL - O - 020000270841 ),AL,On Premise,99999,AL - O - 020000270841,UNKNOWN,UNKNOW
HOOTERS  ( AL - O - 020000341437 ),AL,On Premise,35235,AL - O - 020000341437,1917 EDWARDS LAKE RD,BIRMINGHA
BANDITO BURRITO  ( AL - O - 020000393745 ),AL,On Premise,35758,AL - O - 020000393745,208 MAIN ST,MADISO
MR WANGS RESTAURANT  ( AL - O - 020000419137 ),AL,On Premise,35209,AL - O - 020000419137,217 LAKESHORE PKWY,HOMEWOO
THE LIGHTHOUSE RESTAURANT AND MOTEL  ( AL - O - 020000447410 ),AL,On Premise,35959,AL - O - 020000447410,2290 HIGHWAY 68 E,CEDAR BLUF
DE VINCIS PIZZA  ( AL - O - 020000525337 ),AL,On Premise,35209,AL - O - 020000525337,2707 18TH ST S,HOMEWOO
KOREAN GARDENS  ( AL - O - 020000543151 ),AL,On Premise,36116,AL - O - 020000543151,2801 VAUGHN PLAZA RD STE T,MONTGOMER
SILVER COIN INDIAN GRILL  ( AL - O - 020000643937 ),AL,On Premise,35216,AL - O - 020000643937,3321 LORNA RD STE 13,HOOVE
APPLEBEES  ( AL - O - 020000676558 ),AL,On Premise,35124,AL - O - 020000676558,360 CAHABA VALLEY RD,PELHA
FIESTA MEXICANA #8  ( AL - O - 020000689439 ),AL,On Premise,35630,AL - O - 020000689439,3721 FLORENCE BLVD,FLORENC
PEKING GARDEN RESTAURANT  ( AL - O - 020000743261 ),AL,On Premise,35150,AL - O - 020000743261,411 FT WILLIAMS AVE,SYLACAUG
DING HOW CHINESE RESTAURANT #2  ( AL - O - 020000808945 ),AL,On Premise,35802,AL - O - 020000808945,4800 WHITESBURG DR STE 10,HUNTSVILL
LA LEYENDA  ( AL - O - 020000962323 ),AL,On Premise,36322,AL - O - 020000962323,671 N DALEVILLE AVE,DALEVILL
ORLEANS PO BOYS  ( AL - O - 020001333349 ),AL,On Premise,36695,AL - O - 020001333349,960 SCHILLINGER ROAD SOUTH SUITE K,MOBIL
RIVERSIDE COUNTRY CLUB DINING ROOM  ( AL - O - 020001792809 ),AL,On Premise,36863,AL - O - 020001792809,2001 CHERRY DRIVE,LANET
FIESTA MEXICAN FOOD  ( AL - O - 020001793137 ),AL,On Premise,35215,AL - O - 020001793137,1575 CENTER POINT RD ST A,CENTER POIN
BIG FISH RESTAURANT AND BAR  ( AL - O - 020001821702 ),AL,On Premise,36561,AL - O - 020001821702,25814 CANAL RD UNITS 1 2 AND 3,ORANGE BEAC
EMBASSY SUITES HOOVER  ( AL - O - 020001862937 ),AL,On Premise,35244,AL - O - 020001862937,2960 JOHN HAWKINS PKWY,HOOVE
FERNANDOS MEXICAN GRILL  ( AL - O - 020001868563 ),AL,On Premise,35476,AL - O - 020001868563,824 MCFARLAND BLVD WEST,NORTHPOR
MIDORI SUSHI AND BAR  ( AL - O - 020001985251 ),AL,On Premise,36117,AL - O - 020001985251,5824 WOODMERE BLVD,MONTGOMER
HALFTIME  ( AL - O - 020002019341 ),AL,On Premise,36830,AL - O - 020002019341,154 AND 156 NORTH COLLEGE STREET,AUBUR
GENGHIS GRILL THE MONGOLIAN STIR FRY  ( AL - O - 020002090037 ),AL,On Premise,35244,AL - O - 020002090037,4730 CHACE CIRCLE ST 100,HOOVE
THE KITCHEN ON GEORGE  ( AL - O - 020002133549 ),AL,On Premise,36604,AL - O - 020002133549,351A GEORGE ST,MOBIL
GOODTIMES  ( AL - O - 020002166063 ),AL,On Premise,35401,AL - O - 020002166063,1735 CULVER ROAD,TUSCALOOS
METRO PRIME STEAKHOUSE  ( AL - O - 020002166437 ),AL,On Premise,35205,AL - O - 020002166437,1035 20TH ST S,BIRMINGHA
THE SHACK  ( AL - O - 020010072559 ),AL,On Premise,35146,AL - O - 020010072559,140 PURPLE HEART BLVD,SPRINGVILL
LA PAZ  ( AL - O - 020010095837 ),AL,On Premise,35244,AL - O - 020010095837,3340 GALLERIA CIRCLE,HOOVE
ASU STUDENT CENTER BALLROOM  ( AL - O - 020010122551 ),AL,On Premise,36104,AL - O - 020010122551,915 SOUTH JACKSON STREET,MONTGOMER
COURTYARD AT 311  ( AL - O - 020010122702 ),AL,On Premise,36532,AL - O - 020010122702,311 FAIRHOPE AVE,FAIRHOP
OCTANE  ( AL - O - 020010136058 ),AL,On Premise,35124,AL - O - 020010136058,2969 PELHAM PARKWAY,PELHA
PBS BBQ  ( AL - O - 020010148332 ),AL,On Premise,35462,AL - O - 020010148332,1085 COUNTY ROAD 208,EUTA
LUXE BAR AND GRILL  ( AL - O - 020010237451 ),AL,On Premise,36116,AL - O - 020010237451,2477 EAST SOUTH BOULEVARD,MONTGOMER
CITY GRILL  ( AL - O - 020010244502 ),AL,On Premise,36542,AL - O - 020010244502,1545 GULF SHORES PKWY,GULF SHORE
JOHNSON SPORTS BAR  GRILL  ( AL - O - 020010282113 ),AL,On Premise,36784,AL - O - 020010282113,703 A TALLAHATTA SPRINGS RD,THOMASVILL
PAPPAS PIZZA PI  ( AL - O - 020010286802 ),AL,On Premise,36561,AL - O - 020010286802,27370 CANAL ROAD,ORANGE BEAC
EZELLS LAVACA  ( AL - O - 020010296112 ),AL,On Premise,36904,AL - O - 020010296112,776 EZELL RD,BUTLE
DRAGONFLY FOOD BAR 2  ( AL - O - 020010299602 ),AL,On Premise,36535,AL - O - 020010299602,246 W LAUREL AVE,FOLE
BJS WINGS  ( AL - O - 020010308749 ),AL,On Premise,36607,AL - O - 020010308749,3211 MOFFETT ROAD SUITE 106,MOBIL
CABO MEXICAN RESTAURANT  ( AL - O - 020010323048 ),AL,On Premise,35976,AL - O - 020010323048,2044 GUNTER AVENUE,GUNTERSVILL
THE BACKWATERS BAR AND GRILL  ( AL - O - 020010328152 ),AL,On Premise,35603,AL - O - 020010328152,2941 POINT MALLARD PARKWAY SUITE U AND V,DECATU
EL MARIACHI LOCO  ( AL - O - 020010369917 ),AL,On Premise,35616,AL - O - 020010369917,8491 HWY 72,CHEROKE
CANCUNS MEXICAN GRILL  ( AL - O - 020010393731 ),AL,On Premise,36375,AL - O - 020010393731,1019 WEST LAWRENCE HWY,SLOCOM
POLLO LUCAS  ( AL - O - 020010397837 ),AL,On Premise,35216,AL - O - 020010397837,3305 LORNA RD,HOOVE
ABUELAS MEXICAN BAR AND GRILL  ( AL - O - 020010447145 ),AL,On Premise,35758,AL - O - 020010447145,8694 MADISON BLVD,MADISO
CHINA BISTRO  ( AL - O - 020010455137 ),AL,On Premise,35244,AL - O - 020010455137,160 MAIN ST,HOOVE
PLAYA AZUL MEXICAN GRILL  ( AL - O - 020010467051 ),AL,On Premise,36116,AL - O - 020010467051,3133 BELL ROAD,MONTGOMER
HOLLY HILLS COUNTRY CLUB INC  ( AL - O - 031000706402 ),AL,On Premise,36507,AL - O - 031000706402,38600 COUNTRY CLUB DR,BAY MINETT
THE NATIONAL ALUMNI SOCIETY OF UAB  ( AL - O - 031002026337 ),AL,On Premise,35294,AL - O - 031002026337,1301 10TH AVE S,BIRMINGHA
LONGHORN STEAKHOUSE OF INVERNESS  ( AL - O - 032000807058 ),AL,On Premise,35242,AL - O - 032000807058,4775 HIGHWAY 280,HOOVE
RIVER OAKS GOLF COURSE  ( AL - O - 032001951631 ),AL,On Premise,36340,AL - O - 032001951631,203 RIVER OAKS ROAD,GENEV
CHRISTMAS ON THE RIVER DECEMBER 6 2014  ( AL - O - 140010464646 ),AL,On Premise,36732,AL - O - 140010464646,501 NORTH COMMISSIONER AVE,DEMOPOLI
2014 NEW YEARS EVE STREET BLOCK PARTY  ( AL - O - 140010466402 ),AL,On Premise,36561,AL - O - 140010466402,THE WHARF MAIN STREET BETWEEN WHARF PARKWAY A,ORANGE BEAC
CITY OF SCOTTSBORO CIVIC CENTER AT GOOSEPOND  ( AL - O - 160001332036 ),AL,On Premise,35769,AL - O - 160001332036,417 ED HEMBEREE DR,SCOTTSBOR
SYKES PLACE ON BANK  ( AL - O - 160001435652 ),AL,On Premise,35601,AL - O - 160001435652,726 BANK STREET NE,DECATU
THE W SALON AND SPA  ( AL - O - 160002156949 ),AL,On Premise,36695,AL - O - 160002156949,6401 AIRPORT BLVD SUITE C,MOBIL
HARVEYS ON NOBLE  ( AL - O - 160002186261 ),AL,On Premise,35150,AL - O - 160002186261,218 N NORTON AVENUE,SYLACAUG
SPRINGHILL SUITES  ( AL - O - 160002202337 ),AL,On Premise,35233,AL - O - 160002202337,2024 4TH AVE SOUTH,BIRMINGHA
TALLAPOOSA LAKES BAR AND GRILL  ( AL - O - 160010017851 ),AL,On Premise,36117,AL - O - 160010017851,1501 DOZIER ROAD,MONTGOMER
DAILYS HOFBRAU AND DESIGNS BY GRACE CATERING  ( AL - O - 160010229122 ),AL,On Premise,35055,AL - O - 160010229122,316 2ND AVENUE SW,CULLMA
MONTGOMERY MULTIPLEX CATERING  ( AL - O - 160010234051 ),AL,On Premise,36107,AL - O - 160010234051,220 HALL STREET,MONTGOMER
TROY UNIVERSITY CATERING TROJAN ARENA  ( AL - O - 160010333255 ),AL,On Premise,36082,AL - O - 160010333255,TROJAN ARENA,TRO
CENTER STAGE  ( AL - O - 160010338028 ),AL,On Premise,35906,AL - O - 160010338028,209 RESCIA AVENUE,RAINBOW CIT
ALEXANDERS  ( AL - O - 160010440835 ),AL,On Premise,36305,AL - O - 160010440835,179 HONEYSUCKLE ROAD,DOTHA
